"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3451","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174393","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","22-Mar-2025","DHANASEKARAN K","Payment Success","1044300"
"3452","Tamil Nadu","Construction of community centers and community halls","WS/MP18178/2025-2026/174415","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","01-Jul-2025","RAGUL N","Payment Success","1080000"
"3453","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174394","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1044300"
"3454","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174395","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1044300"
"3455","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174396","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","626580"
"3456","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202133","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Sep-2025","Ss Construction","Payment Success","626580"
"3457","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202122","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","13-Sep-2025","Ss Construction","Payment Success","626580"
"3458","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202126","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","13-Sep-2025","Ss Construction","Payment Success","626580"
"3459","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202127","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","13-Sep-2025","Ss Construction","Payment Success","626580"
"3460","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202136","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","13-Sep-2025","Ss Construction","Payment Success","1566450"
"3461","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202125","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Sep-2025","Ss Construction","Payment Success","626580"
"3462","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202124","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Sep-2025","Ss Construction","Payment Success","626580"
"3463","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202123","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Sep-2025","Ss Construction","Payment Success","626580"
"3464","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174412","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","27-Mar-2025","DHANASEKARAN K","Payment Success","1608222"
"3465","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174388","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","07-Mar-2025","DHANASEKARAN K","Payment Success","1044300"
"3466","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174387","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","07-Mar-2025","DHANASEKARAN K","Payment Success","1253160"
"3467","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225396","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Oct-2025","DHANASEKARAN K","Payment Success","417720"
"3468","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225392","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Oct-2025","DHANASEKARAN K","Payment Success","835440"
"3469","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225353","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3470","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225356","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3471","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225395","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Oct-2025","DHANASEKARAN K","Payment Success","355062"
"3472","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174390","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","20-Mar-2025","DHANASEKARAN K","Payment Success","626580"
"3473","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174385","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","20-Mar-2025","DHANASEKARAN K","Payment Success","1253160"
"3474","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174389","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","20-Mar-2025","DHANASEKARAN K","Payment Success","1462020"
"3475","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174392","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Mar-2025","DHANASEKARAN K","Payment Success","2088600"
"3476","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202189","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","20-Aug-2025","Ss Construction","Payment Success","1044300"
"3477","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202163","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","1044300"
"3478","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202161","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","731010"
"3479","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202179","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","835440"
"3480","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202180","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","1044300"
"3481","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202181","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","626580"
"3482","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202186","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","626580"
"3483","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202188","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Aug-2025","Ss Construction","Payment Success","1044300"
"3484","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174400","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","751896"
"3485","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174406","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1462020"
"3486","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174407","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","626580"
"3487","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174408","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","626580"
"3488","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174409","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1253160"
"3489","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174410","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","626580"
"3490","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202117","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Aug-2025","Ss Construction","Payment Success","1044300"
"3491","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202116","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Aug-2025","Ss Construction","Payment Success","626580"
"3492","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202115","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Aug-2025","Ss Construction","Payment Success","1044300"
"3493","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202112","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Aug-2025","Ss Construction","Payment Success","1044300"
"3494","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225387","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3495","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225390","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Oct-2025","DHANASEKARAN K","Payment Success","835440"
"3496","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225425","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","06-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3497","Tamil Nadu","Street lights","WS/MP457/2025-2026/176137","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","22-Jul-2025","AMM ENTERPRISES","Payment Success","250000"
"3498","Tamil Nadu","Lighting of public spaces","WS/MP508/2025-2026/202674","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","14-Nov-2025","T S SOLAR POWER SYSTEM","Payment Success","434130"
"3499","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP508/2025-2026/202701","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","06-Jan-2026","C VIJAYAKUMAR WORKS CONTRACT","Payment Success","599710"
"3500","Tamil Nadu","Street lights","WS/MP508/2025-2026/134708","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","27-Jun-2025","T S SOLAR POWER SYSTEM","Payment Success","434956"
"3501","Tamil Nadu","Street lights","WS/MP508/2025-2026/134709","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","27-Jun-2025","T S SOLAR POWER SYSTEM","Payment Success","434956"
"3502","Tamil Nadu","Construction of community centers and community halls","WS/MP508/2025-2026/189214","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","29-Jul-2025","C VIJAYAKUMAR WORKS CONTRACT","Payment Success","699930"
"3503","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP508/2025-2026/189216","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","08-Jul-2025","C VIJAYAKUMAR WORKS CONTRACT","Payment Success","246630"
"3504","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP508/2025-2026/189215","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","08-Jul-2025","C VIJAYAKUMAR WORKS CONTRACT","Payment Success","124812"
"3505","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200505","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","28-Apr-2026","JRR Construction","Payment Success","1100000"
"3506","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200506","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","28-Apr-2026","JRR Construction","Payment Success","1100000"
"3507","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2025-2026/183160","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","27-Feb-2026","C S R CONSTRUCTION","Payment Success","1329305"
"3508","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18173/2024-2025/139193","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","06-May-2025","Malaiarasan","Payment Success","999362"
"3509","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/139194","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","08-Jan-2025","R ANBARASU","Payment Success","999231"
"3510","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18173/2024-2025/139192","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","02-Jul-2025","V R CONSTRUCTIONSAND DEVELOPERS","Payment Success","999121"
"3511","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216132","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","24-Feb-2026","A2S PROJECTS INDIA PVT LTD","Payment Success","545315"
"3512","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216129","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","24-Feb-2026","A2S PROJECTS INDIA PVT LTD","Payment Success","297445"
"3513","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216128","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","24-Feb-2026","A2S PROJECTS INDIA PVT LTD","Payment Success","743611"
"3514","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2024-2025/137929","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","12-Jul-2025","ELANGO","Payment Success","825621"
"3515","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18173/2024-2025/137928","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","20-Mar-2026","ELANGO","Payment Success","1018321"
"3516","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18173/2024-2025/137928","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","15-Jul-2025","ELANGO","Payment Success","750000"
"3517","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216127","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","16-Feb-2026","MS ENTERPRISES","Payment Success","299999"
"3518","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216126","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","16-Feb-2026","MS ENTERPRISES","Payment Success","748159"
"3519","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216125","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","16-Feb-2026","MS ENTERPRISES","Payment Success","299999"
"3520","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/216124","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","16-Feb-2026","MS ENTERPRISES","Payment Success","549395"
"3521","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2024-2025/137929","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","27-Oct-2025","ELANGO","Payment Success","533295"
"3522","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/231088","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","27-Nov-2025","G KUMAR","Payment Success","499797"
"3523","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/139190","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","21-Mar-2025","G KUMAR","Payment Success","999000"
"3524","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/138501","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","25-Jun-2025","SAIRAM CONSTRUCTIONS","Payment Success","399856"
"3525","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2024-2025/138502","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","23-Apr-2025","NAVEEN CONSTRUCTION","Payment Success","599480"
