"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3855","Normal/Others","WS/MP18175/2025-2026/266703-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light with Iron roop at Ward No.12 Goldeb city nagar near Harur municipality","06-Feb-2026","26-Feb-2026","600000","Physical Inspection"
"3856","Normal/Others","WS/MP18175/2025-2026/266713-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply Highmast light with Iron roop (LED) at Maruthipattiy Ex.Union Secretary Nallimaran nagar at Maruthipatty panchayat","06-Feb-2026","06-Mar-2026","600000","Sanction"
"3857","Normal/Others","WS/MP18175/2025-2026/273206-Purchase of smart boards, visual display units and projectors","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Smart Class Interactive Panel at Govt.High.School Vedakattamauvu","09-Mar-2026","13-Mar-2026","200000","Physical Inspection"
"3858","Normal/Others","WS/MP18175/2025-2026/273213-Purchase of smart boards, visual display units and projectors","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Smart Class Interactive Panel at GTRHSS Govt.Higher.Sec.School Vachathi","09-Mar-2026","13-Mar-2026","200000","Physical Inspection"
"3859","Normal/Others","WS/MP18176/2024-2025/146590-Providing CCTV camera system for security of public areas","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Providing CCTV camera system for security in Palani Municipality (CCTV Camera Maintanance Control: Deputy Superintentdent of police, Palani)","09-Oct-2024","20-Jan-2025","4999254","Physical Inspection"
"3860","Normal/Others","WS/MP18176/2025-2026/176962-Construction of public libraries and reading rooms","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Palani Ayakudi Town Panchayat 10th ward, Sandai pettai, Near Ration shop, District Branch Library building allot","22-Feb-2025","07-Aug-2025","2500000","Work Completed"
"3861","Normal/Others","WS/MP18176/2025-2026/198921-Setting up public non-conventional energy plants","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Kurumbapatti Panchayat Periyar Nagar near oor manthai Solar System High mast light","13-May-2025","13-Feb-2026","498120","Physical Inspection"
"3862","Normal/Others","WS/MP18176/2025-2026/198973-Lighting of public spaces","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Dindigul Corporation 27th Ward Near Angu vilash irakkam high mast light","13-May-2025","17-Dec-2025","1000000","Vendor Identification"
"3863","Normal/Others","WS/MP18176/2025-2026/216761-Construction of buildings for community cultural activities","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Thadikombu Town Panchayat 13rd Ward Poothipuram Cultural Activities Buildings","10-Jul-2025","16-Feb-2026","800000","Physical Inspection"
"3864","Normal/Others","WS/MP18176/2025-2026/232410-Lighting of public spaces","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Kotaikkanal Taluk Kamanur Village Mangalamkombu High Mast Light","09-Sep-2025","12-Dec-2025","700000","Work Completed"
"3865","Normal/Others","WS/MP18176/2025-2026/239373-Construction of bus-sheds or bus-stops","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Siluvathur Village vangamanuthu thevalayam Opp Bus Stop","01-Oct-2025","16-Feb-2026","700000","Work partially Completed"
"3866","Normal/Others","WS/MP18176/2026-2027/239374-Construction of water tanks","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","sithaiyankottai town panchayat 1st ward narasaingapuram 60,000 Liters water tank","01-Oct-2025","08-Jul-2026","3500000","Work partially Completed"
"3867","Normal/Others","WS/MP18176/2025-2026/250893-Setting up public non-conventional energy plants","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","Natham Town Panchayat 18th Ward Meyampatti near Mayanam Solar System","27-Nov-2025","19-Feb-2026","536000","Sanction"
"3868","Normal/Others","WS/MP18177/2024-2025/149345-Purchase of sports equipment","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Supply to School Lab Equipment for Arachalur Govt. Higher Secondary School 2024 - 2025","25-Oct-2024","11-Dec-2024","624861","Physical Inspection"
"3869","Normal/Others","WS/MP18177/2025-2026/156784-Street lights","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","Installation of High Tower Electric Light near Chanarpalayam BSNL office in Mulanur town panchayat ( Minimass LIght) ( 9 mtrs Height 1 Nos) (2024 - 25)","04-Dec-2024","08-Oct-2025","400000","Work Completed"
"3870","Normal/Others","WS/MP18177/2025-2026/156819-Installing tube-wells and borewells","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","Providing a new bore well in Kamachi valasu of papini panchayat in kangeyam panchayat union (2024-25)","04-Dec-2024","03-Jul-2025","197499","Physical Inspection"
"3871","Normal/Others","WS/MP18177/2025-2026/156821-Construction of water tanks","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","Providing a new bore well and electric motor installation of 5000 liter syntex tank at public residence, rasapalayam in pothiyapalayam Panchayat (2024 - 25)","04-Dec-2024","12-Aug-2025","599961","Physical Inspection"
"3872","Normal/Others","WS/MP18177/2024-2025/168391-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Installation of high Tower ligher (12 mtr Height) in government Primary health center premises in chithode Town panchayat 2024-2025","27-Jan-2025","28-Feb-2025","600000","Physical Inspection"
"3873","Normal/Others","WS/MP18177/2024-2025/168394-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Installation of High tower (12 mtr height) at Thai Nagar - Balaji Nagar Junction in Chithode town panchayat 2024- 25","27-Jan-2025","28-Feb-2025","600000","Physical Inspection"
"3874","Normal/Others","WS/MP18177/2025-2026/168459-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of new PDS outlet in samundi nagar area in erode Corporation 2024-25","27-Jan-2025","05-May-2025","1500000","Physical Inspection"
"3875","Normal/Others","WS/MP18177/2025-2026/168464-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of Kitchen and Dining area on the First Floor of karattampalayam Community Hall in Vengambur Town panchayat 2024-2025","27-Jan-2025","05-May-2025","3000000","Work Completed"
"3876","Normal/Others","WS/MP18177/2025-2026/205339-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","Providing a SMART CLASS INTERACTIVE PANEL in Rasathivalasu Panchayat Union Middle School (1 Nos) (2025-26)","31-May-2025","08-Dec-2025","200000","Physical Inspection"
"3877","Normal/Others","WS/MP18177/2025-2026/205341-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","Providing a  SMART CLASS INTERACTIVE PANEL in Muthur Panchayat Union Middle School (2025-26)","31-May-2025","08-Dec-2025","200000","Physical Inspection"
"3878","Normal/Others","WS/MP18177/2025-2026/205953-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Installation of a small tower Electric Light with a height of 9 Mtr (Hight Mast Light) near Ward No. 6, near Venkiyam Palayam Mariamman Temple front of the temple, in Pasur Town Panchayat(1 Nos) (2025-26)","03-Jun-2025","14-Nov-2025","450000","Physical Inspection"
"3879","Normal/Others","WS/MP18177/2025-2026/205955-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Installation of 9 Mtr (Hight Mast Light) small tower Electric Light near Ward No. 2 and 3 Salaiputhur Vaikkal Road in Chennasamudram Town panchayat (1 Nos) (2025-26)","03-Jun-2025","20-Nov-2025","450000","Physical Inspection"
"3880","Normal/Others","WS/MP18177/2025-2026/205967-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Procurement and supply of 20 Sets Desk and bench to Government Higher Secondary School in Kandikattuvalasu (2025-26)","03-Jun-2025","25-Sep-2025","250000","Physical Inspection"
"3881","Normal/Others","WS/MP18177/2025-2026/207709-Purchase of smart boards, visual display units and projectors","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Providing af smart boards, visual display in Kagam Panchayat Union Middle School (2025-26)","13-Jun-2025","04-Sep-2025","200000","Physical Inspection"
"3882","Normal/Others","WS/MP18177/2025-2026/207713-Purchase of smart boards, visual display units and projectors","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Providing a SMART CLASS INTERACTIVE PANEL in Kilyampatti Village Union Middle School (1 Nos) (2025-26)","13-Jun-2025","04-Sep-2025","200000","Physical Inspection"
"3883","Normal/Others","WS/MP18177/2025-2026/207727-Purchase of smart boards, visual display units and projectors","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Providing a SMART CLASS INTERACTIVE PANEL in Kalathuminnapalayam Panchayat Union Middle School (1 Nos) (2025-26)","13-Jun-2025","04-Sep-2025","200000","Physical Inspection"
"3884","Normal/Others","WS/MP18177/2025-2026/207734-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Zone-4, Ward No. 60 Barrage Road, Near E.B. Quadrus Three Road Junction, Installation of 9 Mtr (Hight Mast Light) Small Tower Electric Light (1 Nos) (2025-26)","13-Jun-2025","24-Nov-2025","450000","Physical Inspection"
"3885","Normal/Others","WS/MP18177/2025-2026/207735-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Zone-4, Ward No. 60, Molakaundanpalayam Government Middle School, 4th Road, near the installation of a 9 Mtr (Hight Mast Light) small tower Electric Light (1 Nos) (2025-26)","13-Jun-2025","24-Nov-2025","450000","Physical Inspection"
"3886","Normal/Others","WS/MP18177/2025-2026/207742-Street lights","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Zone-1, Ward No. - 17, Kaveri Road, near Mariamman Temple, Installation of 9 Mtr (Hight Mast Light) small Tower Electric Light (1 Nos) (2025-26)","13-Jun-2025","24-Nov-2025","450000","Physical Inspection"
"3887","Normal/Others","WS/MP18177/2025-2026/210073-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Providing  20 sets of desk benches to Thandampalayam Government Higher Secondary School (2024-25)","23-Jun-2025","11-Aug-2025","250000","Physical Inspection"
"3888","Normal/Others","WS/MP18178/2024-2025/174389-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and supply of bench and desk to Arasampattu Govt Model Higher Sec School (70 set)","08-Feb-2025","27-Feb-2025","1462020","Physical Inspection"
"3889","Normal/Others","WS/MP18178/2024-2025/174397-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and supply of bench and desk to Kallakurichi Govt Boys Higher Sec School (50 set)","08-Feb-2025","18-Feb-2025","1044300","Physical Inspection"
"3890","Normal/Others","WS/MP18178/2024-2025/174398-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and supply of bench and desk to Kallakurichi Govt Girls Higher Sec School (50 set)","08-Feb-2025","18-Feb-2025","1044300","Physical Inspection"
"3891","Normal/Others","WS/MP18178/2025-2026/174415-Construction of community centers and community halls","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Construction of Ration shop building at Sirunagalur panchayat","08-Feb-2025","23-May-2025","1268500","Physical Inspection"
"3892","Normal/Others","WS/MP18178/2025-2026/178114-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Solar Light  near Mariyamman Kovil at Echanpatti, Attur panchayat Union","28-Feb-2025","14-May-2025","374768","Physical Inspection"
"3893","Normal/Others","WS/MP18178/2025-2026/178131-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Mini High Mast Light  (12.5 m) at 3 road, Ward 25, Housing board Attur Municipality","28-Feb-2025","10-Apr-2025","466754","Physical Inspection"
"3894","Normal/Others","WS/MP18178/2025-2026/178135-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Mini solar Light  at Thennampullaiyur panchayat in Pethanayakanpalayam panchayat union.","28-Feb-2025","15-Oct-2025","374841","Physical Inspection"
"3895","Normal/Others","WS/MP18178/2025-2026/178161-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Mini solar Light near Anaiyampatti Agarakaram perumal Kovil , Gangavalli Panchayat Union","28-Feb-2025","12-Jul-2025","374642","Physical Inspection"
"3896","Normal/Others","WS/MP18178/2025-2026/178199-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Mini solar Light at Mettu theru, Kuppanur, Ayyothiyapattanam panchayat Union.","28-Feb-2025","30-Oct-2025","374643","Physical Inspection"
"3897","Normal/Others","WS/MP18178/2025-2026/178200-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and Installation of Mini solar Light at A.T.Colony Achangkutti panchayat, Ayyothiyapattanam panchayat Union.","28-Feb-2025","30-Oct-2025","374643","Physical Inspection"
"3898","Normal/Others","WS/MP18178/2025-2026/201645-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Government Girls Higher Secondary School at Kachirayapalayam","20-May-2025","09-Jun-2025","235000","Physical Inspection"
"3899","Normal/Others","WS/MP18178/2025-2026/201646-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Government  Higher Secondary School at Vadakkanandhal TP","20-May-2025","09-Jun-2025","235000","Physical Inspection"
"3900","Normal/Others","WS/MP18178/2025-2026/201649-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Government Girls Higher Secondary School at Sankarapuram","20-May-2025","09-Jun-2025","235000","Physical Inspection"
"3901","Normal/Others","WS/MP18178/2025-2026/201650-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Government Boys Higher Secondary School at Devapandalam panchayat in Sankarapuram Block","20-May-2025","09-Jun-2025","235000","Physical Inspection"
"3902","Normal/Others","WS/MP18178/2025-2026/201959-Purchase of non-conventional energy system and devices for community use","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Installation of Mini Solar light near Mariyamman Kovil in Ganesapuram panchayat","21-May-2025","15-Oct-2025","374841","Physical Inspection"
"3903","Normal/Others","WS/MP18178/2025-2026/202110-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and supply of Bench and Desk to Govt High School at Periyasiruvathur (30 set)","21-May-2025","30-Jul-2025","626580","Physical Inspection"
"3904","Normal/Others","WS/MP18178/2025-2026/202116-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","Procurement and supply of Bench and Desk to Govt boys Higher Sec School at Vadakkanandhal (30 set)","21-May-2025","30-Jul-2025","626580","Physical Inspection"
"3905","Normal/Others","WS/MP18178/2025-2026/218067-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Govt.  Hr Sec School at Chokkanathapuram in ATtur","14-Jul-2025","06-Oct-2025","234800","Physical Inspection"
"3906","Normal/Others","WS/MP18178/2025-2026/218082-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","Providing Smart Class at Govt. Middle school at mamanji","14-Jul-2025","06-Oct-2025","234800","Physical Inspection"
