"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"447","Normal/Others","WS/MP508/2024-2025/137470-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in Koratti at Kandali Block km 0/0-0/300","CN Annadurai","TIRUVANNAMALAI","Images","23-Apr-2025","1000000"
"448","Normal/Others","WS/MP508/2024-2025/137471-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in Koratti at Kandali Block km 0/301-0/600","CN Annadurai","TIRUVANNAMALAI","Images","23-Apr-2025","1000000"
"449","Normal/Others","WS/MP508/2024-2025/137472-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in Thoranampathi at Kandali Block km 0/0 - 0/300","CN Annadurai","TIRUVANNAMALAI","Images","23-Apr-2025","1000000"
"450","Normal/Others","WS/MP508/2024-2025/137473-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in Thoranampathi at Kandali Block km 0/301 - 0/600","CN Annadurai","TIRUVANNAMALAI","Images","23-Apr-2025","1000000"
"451","Normal/Others","WS/MP508/2025-2026/164157-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Construction of Bus shelter at Mattavettu panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","02-Jan-2026","499800"
"452","Normal/Others","WS/MP508/2025-2026/164158-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in North Street at Kilkuppam panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","02-Jan-2026","249843"
"453","Normal/Others","WS/MP508/2025-2026/164159-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Reddiyar street at Melpalur panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","02-Jan-2026","249672"
"454","Normal/Others","WS/MP508/2025-2026/164160-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in murugar koil street at Aniyalai panchayat","CN Annadurai","TIRUVANNAMALAI","Images","31-May-2025","299828"
"455","Normal/Others","WS/MP508/2025-2026/164161-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Padagam street at Seettampattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","12-Aug-2025","299735"
"456","Normal/Others","WS/MP508/2025-2026/164162-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Nadu street at Kalur Panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-May-2025","299738"
"457","Normal/Others","WS/MP508/2025-2026/164183-Construction of boundary walls of existing public and community buildings","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Construction of Compound wall in christian BG at Sanipoondi panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","19-Sep-2025","298921"
"458","Normal/Others","WS/MP508/2025-2026/164184-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Pilliyar koil street at Iyangunnam panchayat","CN Annadurai","TIRUVANNAMALAI","Images","11-Aug-2026","199329"
"459","Normal/Others","WS/MP508/2025-2026/164185-Setting up crops conservation facilities","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Construction of threshing floor at Ganapapauram panchayat","CN Annadurai","TIRUVANNAMALAI","Images","11-Aug-2026","199695"
"460","Normal/Others","WS/MP508/2025-2026/164186-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in murugar koil street at Neivanatham panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","199727"
"461","Normal/Others","WS/MP508/2025-2026/164188-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","providing CC Pavement in New road street at Vazhuthalangunnam panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","19-Sep-2025","199673"
"462","Normal/Others","WS/MP508/2025-2026/164189-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Anthoniyar street at Nagengapattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","11-Aug-2026","199447"
"463","Normal/Others","WS/MP508/2025-2026/164190-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC street at Kazhikulam panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","19-Sep-2025","199526"
"464","Normal/Others","WS/MP508/2024-2025/164191-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Bajani koil lane at Aruddirapattu panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","29-Apr-2025","199920"
"465","Normal/Others","WS/MP508/2024-2025/164192-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC salanaiyankollai west street at Viruvilanginan panchayat","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","199880"
"466","Normal/Others","WS/MP508/2024-2025/164193-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in ADC madha koil street at Panaiyur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","199900"
"467","Normal/Others","WS/MP508/2024-2025/164291-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Palla street at Mallavadi panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","05-Jan-2026","199716"
"468","Normal/Others","WS/MP508/2024-2025/164292-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC puthu colony at Kiliyapattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","13-May-2025","199455"
"469","Normal/Others","WS/MP508/2024-2025/164293-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in ADC Colony in Maruthuvambadi panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","06-Aug-2025","198869"
"470","Normal/Others","WS/MP508/2024-2025/164294-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Muniyappanthangal street at Vadapulithiyur panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","06-Aug-2025","199542"
"471","Normal/Others","WS/MP508/2024-2025/164295-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC New Colony in Kalasthambadi panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","06-Aug-2025","199424"
"472","Normal/Others","WS/MP508/2024-2025/164296-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Anna nagar at Randam Panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","05-Jan-2026","199559"
"473","Normal/Others","WS/MP508/2025-2026/165176-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in ADC cross street at Puthur chekkadi","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199266"
"474","Normal/Others","WS/MP508/2025-2026/165177-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Mettupalayam road street at Malayanoor chakkadi","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199795"
"475","Normal/Others","WS/MP508/2025-2026/165178-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Murugar koil madavedi street at Se.Andapattu","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199863"
"476","Normal/Others","WS/MP508/2025-2026/165179-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC main road in Veppurchekkadi","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199075"
"477","Normal/Others","WS/MP508/2025-2026/166138-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Thombar street in Thenmudiyanur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199648"
"478","Normal/Others","WS/MP508/2025-2026/166139-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Kalthampadi mariyamman koil street at Agarampallipattupanchayat","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199082"
"479","Normal/Others","WS/MP508/2025-2026/166140-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Theeder nagar at Sathanur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","198444"
"480","Normal/Others","WS/MP508/2025-2026/166141-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Ambedkar street at Kolundampattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","199530"
"481","Normal/Others","WS/MP508/2025-2026/166143-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Gandhi nagar Kuruvikara colony at Melvanakkambadi panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-Jul-2025","199960"
"482","Normal/Others","WS/MP508/2025-2026/166144-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in New colony santhu street at Porasapattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-Jul-2025","199960"
"483","Normal/Others","WS/MP508/2025-2026/166145-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Ambedkar nagar 2nd street at Melpulidiyur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-Jul-2025","199960"
"484","Normal/Others","WS/MP508/2025-2026/166146-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Mariyamman koil street at Pudupattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","199863"
"485","Normal/Others","WS/MP508/2025-2026/166147-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Thurinjapuram colony kalliamman koil street at Andanur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","299770"
"486","Normal/Others","WS/MP508/2025-2026/166148-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Komatha street at Theethandapattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","299824"
"487","Normal/Others","WS/MP508/2025-2026/166149-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in 1st street at puliyampatti panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","199798"
"488","Normal/Others","WS/MP508/2025-2026/166150-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Joyar street at perumakkam panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-Jul-2025","199667"
"489","Normal/Others","WS/MP508/2025-2026/166151-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in ADC Colony Amedkar street at Kannakurukkai panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","199814"
"490","Normal/Others","WS/MP508/2025-2026/166152-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in ADC Colony Library street at Beemanandal panchayat","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","197873"
"491","Normal/Others","WS/MP508/2025-2026/166153-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Ramasamy nagar kulathamettu street at Pachal panchayat","CN Annadurai","TIRUVANNAMALAI","Images","07-Jul-2025","199728"
"492","Normal/Others","WS/MP508/2025-2026/166156-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Urgoundanur panchayat","CN Annadurai","TIRUVANNAMALAI","Images","19-Feb-2026","199565"
"493","Normal/Others","WS/MP508/2025-2026/166157-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC Pavement in Thenmalai athipattu panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","18-Mar-2026","199600"
"494","Normal/Others","WS/MP508/2025-2026/166159-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Construction of bus shelter in shenbagathopu near at Kanamalai panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","03-Oct-2025","598350"
"495","Normal/Others","WS/MP508/2025-2026/166160-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in PDS shop street at Nellanthangal panchayat","CN Annadurai","TIRUVANNAMALAI","Images","11-Aug-2026","199030"
"496","Normal/Others","WS/MP508/2025-2026/176403-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing LED Street Light arrangements in Polur Kuppanatham junction Polur road 500 Meter","CN Annadurai","TIRUVANNAMALAI","Images","22-Aug-2025","970018"
"497","Normal/Others","WS/MP508/2025-2026/176404-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing LED Street Light arrangements in Polur Kuppanatham junction  Kuppanatham road 500 Meter","CN Annadurai","TIRUVANNAMALAI","Images","22-Aug-2025","969644"
"498","Normal/Others","WS/MP508/2025-2026/176405-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing LED Street Light arrangements in Annamalaiyar koil near north road 100 feet high at Tiruvannamalai municipality","CN Annadurai","TIRUVANNAMALAI","Images","22-Sep-2025","1799543"
"499","Normal/Others","WS/MP508/2025-2026/176406-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing LED Street Light arrangements in Annamalaiyar koil near south road 100 feet high at Tiruvannamalai municipality","CN Annadurai","TIRUVANNAMALAI","Images","22-Sep-2025","1799693"
